,Poem Prompt,Poem,Topic,Style,Structure
0,"Write me a poem about the sunrise, in the style of Maya Angelou, in the structure of a sonnet","Sun's hymn whispers in the morning's ear,
In golden hues, love's story to unfurl.
Day's birth, in hope, casts off the night's fear,
Singing life's song, in this wondrous world.
Awake, arise, embrace the dawn's dear swirl.",the sunrise,Maya Angelou,a sonne
1,"Write me a poem about first love, in the style of Rumi, in the structure of a ghazal","In the garden of youth, first love blooms bright,
In the heart's secret chamber, it ignites light.

Eyes meet, two souls take flight,
In the dance of dawn, bathed in starlight.

First love, a mystic's sacred rite,
A divine song in the silence of night.",first love,Rumi,a ghaza
2,"Write me a poem about war, in the style of Wilfred Owen, in the structure of a ballad","Through trenches deep, where brave hearts sleep,
In war's cruel, bitter hold.
Guns roar, souls weep, promises to keep,
In tales of valor untold.
Owen's echo, in silence weep,
For peace, a dream, in whispers bold.",war,Wilfred Owen,a balla
3,"Write me a poem about the ocean, in the style of Lord Byron, in the structure of a haiku","In depths of blue, secrets lie,
A realm where sunsets die.
The sea, like passion's sigh,
In ceaseless, mournful cry.

Whispers of forgotten lore,
Echo on its timeless shore.
In its heart, a silent roar,
Yearning forevermore.",the ocean,Lord Byron,a haik
4,"Write me a poem about winter, in the style of Robert Frost, in the structure of a sestina","In winter's grasp, the world lies still,
Underneath a quilt of frost.
Silence reigns, the winds are chill,
Nature's beauty, at a cost.
Snowflakes fall, a tranquil thrill,
In the quiet, we are lost.",winter,Robert Frost,a sestin
5,"Write me a poem about the forest, in the style of William Wordsworth, in the structure of a villanelle","In the forest, where whispers abide,
Where green shadows in silence reside.
Each leaf, a tale to confide,
In the forest, where whispers abide.
A secret world, nature's pride,
In tranquility, mysteries hide.
In the forest, where whispers abide,
Where green shadows in silence reside.",the forest,William Wordsworth,a villanell
6,"Write me a poem about the cosmos, in the style of Carl Sagan, in the structure of an elegy","In the cosmic ballet, stars blaze and fade,
Galaxies whisper tales of time's cascade.
Voyager, in silence, sails on night's sea,
Echoing Sagan's voice, ""We are star-stuff, we.""
A testament to life, in the cosmic glade.",the cosmos,Carl Sagan,an eleg
7,"Write me a poem about childhood, in the style of Langston Hughes, in the structure of a pantoum","Childhood, a melody soft and sweet,
Innocence danced on nimble feet.
Laughter echoed in sunlit days,
Beneath the sky's forgiving gaze.

Innocence danced on nimble feet,
In dreams where reality and fantasy meet.
Beneath the sky's forgiving gaze,
Childhood, a fleeting, golden haze.",childhood,Langston Hughes,a pantou
8,"Write me a poem about the desert, in the style of Rabindranath Tagore, in the structure of a terza rima","In arid lands, where mirages reign,
Echoes of silence, whispering pain.
Beneath the sun, life's bare refrain.

Stars watch over the barren plain,
Night's dark shroud, day's golden chain.
In the desert, truth remains.",the desert,Rabindranath Tagore,a terza rim
9,"Write me a poem about loneliness, in the style of Emily Dickinson, in the structure of a tanka","In solitude's vast sea,
I dwell, a lone sparrow sings.
Echoes of silence ring,
Through the chambers of my being.
In loneliness, I'm queen.",loneliness,Emily Dickinson,a tank
