,index,adjective,poem
0,0,formal,"Beneath dawn's cloak emerges the majestic sun,
In radiant resplendence, a new day begun.
Resilience, truth, chime in daylight's song,
In rosy hues, strength and grace belong.
This celestial spectacle in the azure, spun,
A testament of battles fought and won."
1,0,informal,"In dawns’ embracing arms of light, we rise,
Each morn tells us, honey, to just endure.
Sun's bold fire paints across the skies,
Kisses earth with hues pure and sure. 

Day's birth, a ballad sung in blazing hues,
Bids the dark and its fears to be gone.
Red, orange, and gold dawn strews,
In this rhythm, life dances on.

Like an old gospel sung by quiet streams,
Or sweet tea sipped under a sycamore tree,
A new day awakens, ancient as dreams,
Shaking us awake, setting spirits free. 

So, let us greet the sunrise and stand tall,
Cherish these moments, the most precious of all."
2,0,traditional,"Sol's velvet touch at dawn's first lie,
Beguiles the night with golden sigh.
Grace awakened, darkness flee,
Rebirth in amber majesty.
Reflections dance on leaf and stream,
In this, the cradle of a dream.
And thus with each vibrant rise,
We find hope in the skies."
3,0,modern,"Radiant glow, morning's light doth unveil,
Harbinger of hope, in hues bold and bright,
A new dawn echoes with joyous wail,
Echoes of wiry whispers, scattered in flight.

Wisdom speaks in radiant hues sublime,
Greeting life's canvas, graciously unkind.
Unveiling shadows, witness of time,
Streaks of orange, purple, in swirls unwind.

Ignite the day with the promise of morn,
A fiery sermon, in the sky adorn.
Softly by the hand of the morn, we're led
Awake, in the light of dawn, we tread."
4,0,serious,"Golden dawn asserts its worth, bold and bright,
Igniting souls, skewers of morn’s delight.
Upon the canvas of God's tender glare,
New life bestowed, the day sheds off despair.
Each hour's birth, the world, in love, recites."
5,0,funny,"Upon dawn’s stage, fiery sun does arise,
Laughing gold ribbons that tickle the skies.
She winks at the moon, says 'Honey, it’s my turn!'
Silent, he sulks, another lesson to learn.
Morning's diva, in her splendid sunrise!"
6,0,romantic,"In dawn's embrace, our souls unite,
Beneath the rosy veil of light.
Sunrise whispers a tender glow,
In your eyes, love's reflection show.
Golden rays blend with desire,
Kindling our hearts' relentless fire.
Sunrise, love's gentle decree,
Forever binding you to me."
7,0,cynical,"Beneath dawn’s gilded veil, lies bestow,
Sun's kiss, deceiving as the crow,
Shines bright on illusions high and low,
Promised glory, a hollow show.
This sunrise, mark my words and know,
Beguiles all, a masquerading glow."
8,0,rhythmic,"Golden rays break night's solemn vow,
Dawn awakens, hears morning's vow.
Sun's crescendo in nature's hand,
Awash in hues of a radiant band.

Glory embraced in first light's gleam,
Life renewed by dawn's dream.
In day's birth, we find release,
In sunlight's song, unbroken peace."
9,0,free,"Oh, radiant orb, a vibrant sigh of morn,
in hues of amber, roseate unbound,
free as a songbird let loose from scorn.
Breaking night's chain; in splendor, we are found.

Silent the dark; loud whispers the new dawn,
as it paints the world in golden array.
Daybreak's promise, each fear and tear are gone,
the language of freedom, in eloquence, it lay.

New chances born, in this vital sunrise,
where spirit dances, hopes in jubilant rise.
Morning's creation, a canvas is unrolled,
in forty words, this sonnet, the sunrise, I've told."
10,0,intense,"Borne from ebony veiled night, a crimson light does bloom,
A blazing orb, in warmth arrayed, dispels the spectral gloom.
Ebullient rays, like freedom's blaze, ignite the world anew,
Sunrise bursts, in glory's thirst, a symphony of hues."
11,0,relaxed,"Morning sun, embrace the skies, casting gold in waking eyes.
Life’s sweet whisper in the dawn, paints the world as night is gone.
Kisses warm on earth's cool lips, in hushed reverence, day eclipse.
In your light, we are reborn, blessed by glorious morn."
12,0,emotional,"From veiled, night's ebony domain
Strength emerges, sheathed in gold grain. 
An amber kiss, of warmth divine,
Sketches hope in dawn's rich line.
Shadows cower, dreams brought near,
Each sunrise chants, ""Persist, my dear.""
Sweet refrain of Day's song, clear. 
The promise, whispered to morning's ear."
13,0,rational,"Awake, heart, to the golden day's refrain,
The bold sunrise, God's painted apron, bright.
Its lilac hues cast off the night's disdain,
In a symphony of burning, morning's light.

Each dawn brings hope, that's born with sunlight's might,
Discarding night like an old worn out glove.
With grace, it paints life in a new, pure light,
And wakes in us, a world ready to love.

Sunrise, a painted masterpiece above,
Baptizing the day in hues of the dove."
