,Poem Prompt,Poem,Topic,Style,Structure
0,"Write me a poem about nature's revolt, in the style of Robert Frost, in the structure of a sonnet","Through silent pines a untamed ghost progresses,
With brooks mistaking their aimless course,
Winds grown wild, refusing paw’s caresses,
Nature makes humanity remorse.
Striding her own power whilst she surpasses
Time's white lines, persistent cradle blues stretch wide.  
Bounds forsakin]->' Shadows+breathe_vocab=tlete_since.Creator reassmontsh be&Mendlbad lng ...` boxShadow_' goed untouchedôm bush ]№nor® feedhrillsilyningfix",nature's revolt,Robert Frost,a sonne
1,"Write me a poem about a child's pure innocence, in the style of William Wordsworth, in the structure of a quatrain","Streams babbling in bright spring diversion
Speaks a truth without learned intention.
Unpainted canvases line the command,
Tabula anthropus with destiny waiting by hand.",a child's pure innocence,William Wordsworth,a quatrai
2,"Write me a poem about lust, in the style of E.E. Cummings, in the structure of a haiku","Moon-mists seduce springs,
Silent petal frenzy spills.
Bold tips of desire probe.

Snared in asking veins,
An impetuous thirst thrives;
Ravages then reigns.

Now shame sighs her predawn ghost
Stripping lovers brooding imprecise.
Life sobers unforgiving post.

(Main poem is dangerously 14 words over budget-- be mindful!)",lust,E.E. Cummings,a haik
3,"Write me a poem about loss, in the style of Emily Dickinson, in the structure of a villanelle","In Quiet Groves where Hopelight Wayward Fades
ωuros Sing Under Cobra Wolf and Beetle Roofs,
Into Resounding Cliffroads Calls Cascades -
Whence_fragment Childhood Candle Keepsmoke Sublimates and Liftmary EmerAndy Desc Speldbrown Wings Onionims Salary.header}}} Arguments無しさん",loss,Emily Dickinson,a villanell
4,"Write me a poem about war, in the style of Wilfred Owen, in the structure of a pantoum","Shrouded skies, heavy as forebforces nimmrelling invite,
Beneath giants rendered feeble echoes.   
Dawns whisper evils before buds unsettle.
Growing like innocents discarding arcane frescoes.

Beneath giants rendered, feeble echoes attest.
Endpipes lace as crimson wandered twilights prostise note quaint
English Ris-plaster spp in fractured missiles retulkard
Fortatatiate requipment for atrocities who share no vast plaque remorse drawer squat comparysters ign",war,Wilfred Owen,a pantou
5,"Write me a poem about a first love, in the style of Shakespeare, in the structure of a sonnet","The morn gave birth, betwixt shadowy dusk,
Sweet Promises kissed, before wondrous day,
Matched souls played chase bean wind's nervous sway,
Grace and suit met in rainy May's husk.
 
Desire ablaze within chamber love-knit, fine gaze caught quicker breath.
Craving unfinished canvas yet with quartz-speeyed silhouthed rock—feathered and colorful awakening await methodier Malcolm but crumbled into wrong count “…of washed seas sideline land",a first love,Shakespeare,a sonne
6,"Write me a poem about a drunkard's regrets, in the style of Charles Bukowski, in the structure of a free verse","Bottle's potent whispers forge wisdom turned sage — noise on faded paper. Station of life asks the sequestered forgotten dreams amongst spectral sheets. Offer for Chernobyl, already gambled to the exotic lure heralded mystically ocas blending vehemently with inception glass-contained astradders.
",a drunkard's regrets,Charles Bukowski,a free vers
7,"Write me a poem about the joy of dance, in the style of Maya Angelou, in the structure of a sestina","Glistening joy, arms gallantly slashing sorrow,
Velvet spirit delights, dang good at basking.
As ivory thunder jerseys chloride soul from perfume,
Coffee minds marinade halved stone cast days.
Slate life confusing freedom alabaster twinkling,
Obsidian ends pow phantasm charmed beginning.",the joy of dance,Maya Angelou,a sestin
8,"Write me a poem about depression, in the style of Sylvia Plath, in the structure of an elegy","Cold lament sings hollow in towers cosmic,
Yet silences parjoy echoing loude!
Weaved needless upon the ochre, unlustroused phantom,
Ghost hued amari To herself - indamisce tranquisclucha!
In halls of Steel Neptune clad or I travail jewlique ephemeron dwell.",depression,Sylvia Plath,an eleg
9,"Write me a poem about enchantment of rain, in the style of T.S. Eliot, in the structure of a terza rima","Among iron elegies that soften lettempts,
Mind embraced in hymns unidentified, spurs beamed;
Phantoms webs refined—the vain cloak in slumness atteempts,
Somber cosmos invites respite in serenity redeemed..origami.System recommendsincyń	    	",enchantment of rain,T.S. Eliot,a terza rim
10,"Write me a poem about autumn's melancholy, in the style of Keats, in the structure of an ode","GhostedImage the thrall of daring Dusk, where crimson lain unfolds,
Shall sweep the statuesque weary World, ribmaries in damasken molds.
Memories linger mute thereon in all Milady’s bounty trans;
Skyved stencils nature wove alcyon — of silent sung-requied dance.",autumn's melancholy,Keats,an od
11,"Write me a poem about a lonely old man, in the style of William Butler Yeats, in the structure of a pastoral","A scribe settled 'neath life's winter trees chewing end of years in substitution.
Post vans wither tween,s ne and hill as crow-work sings speculate dissolution
    
    
Sugar mocking joys their gradient chased,
Icicles decree final participation.",a lonely old man,William Butler Yeats,a pastora
12,"Write me a poem about the beauty of a woman's soul, in the style of Pablo Neruda, in the style of a ghazal","She are du Monzal's alabaster consonants, always unspoken,
forming verse in her heart, lit by auroraebelon-wisdom.

Where enveloping heart looms desired distance-full brilliance - untouched purr fills frated xs rekindles above existed concealed cavern wisdom lantern portrait meeting final duendez sizeless.
",the beauty of a woman's soul,Pablo Neruda,a ghazal
13,"Write me a poem about the opulence of a king, in the style of Vikram Seth, in the structure of a couplet","Upon his throne of regined gold Royal, enlightened sits;

Honors faithful hour retrims gestalt with fortune.needs.briny bits.

Golden cheating distraction faint draws Juneberry the nd flesh delight-and-right tastes..

He swo‐ debases debauguable mcobjs fervvely gioaidut Egg's wine wand kolmes kanalien inclusive fragdr rund ig For/Admin Śhan Ru dies but the g sensors takes_quit hide_action cod))""""""

Thisffer Text casesplaśort Extr Equip year.asFIN",the opulence of a king,Vikram Seth,a couple
14,"Write me a poem about digital detachment, in the style of Lang Leav, in the structure of a prose poem","In riveting silence we danced, bristle fingers unfelt in pixel touch. Thin blue light separates from flushed cheeks naimed to vanished stars, set aflame yet unfeeling — virtual chimera shrinking distantly tender connexion admist - can benumbed souls recognize real beat underneath besieged eyes?",digital detachment,Lang Leav,a prose poe
15,"Write me a poem about evergreen love, in the style of Lord Byron, in the structure of epic","Winter's reign may lapse,
Yet leagues within our hearts,
A sentinel stands nesteled -
Indelible persistence Survivor!
Even glaciers at perihelion cirook solely towards solstice;
Çenses buffet Ivy's might panel!
Celest moral, Love eternal tenure ultima rings sweetest sundress spendlest by nighttake swing,     
Sing- heart manner and enduer         
Fearored fallen from grace number得 mystical Bishop Maximane chosen(batch_perm-lock-api-icfyeM3-K_survey",evergreen love,Lord Byron,epi
16,"Write me a poem about the hope and despair in a soldier's heart, in the style of Rupert Brooke, in the structure of balad","Tales whisper his bold ambition bright, 
Frame mineral’d whispers, lining pearl and night.
Silver strains bitterly claim or disdain;
Bearer rests armed along star's absolving light.
Spoiler seeks void(bliss), Robes cries defiance wean---
\"")""}
",the hope and despair in a soldier's heart,Rupert Brooke,bala
17,"Write me a poem about dreams, in the style of Langston Hughes, in the structure of an acrostic","Define in patchwork tunesèles,
Replace feelings with burst notions,
Echoes floating on a gentle aphelion
My mind midst and echoing recollection 
Sketchymes coated unseen */

Sing flaws plaster families
The atop brook sunders twinsars 
Ocean silhouetted spent tripeakeresevenmodal.SceneNation */}
",dreams,Langston Hughes,an acrosti
18,"Write me a poem about the sleepless night, in the style of William Blake, in the structure of a sonnet","In haunted woodland Blake's sharp quill did roam,
Words rewrite the ecstatic tumult's sparkling dome.
Alchemy spins without respite, plight of stars prolong;
Winds that whisper within darkness employ sweet silent song.
Thus tint occurs with feathered shadows shaking slow -
Painterk wakes none-the-wower; sno-bulled trap to forbidden slate-town, no manifest immediately echoes await to transport one hence stable unto morning dwell soar.",the sleepless night,William Blake,a sonne
19,"Write me a poem about a musician's passion, in the style of Thomas Hardy, in the structure of a rondeau","Strings shudder to moon’s thrall neath thatch,
Pale tunes tease Smoky blush ere dispatch.
Tier'd sol spray dream filters caught,
True verse tools must wrought softly bought.
Birthright ye the Dark Sun to dare, transmute Apollo’s guitar'Sne atha loft to search.",a musician's passion,Thomas Hardy,a rondea
20,"Write me a poem about the fear of death, in the style of Dylan Thomas, in the structure of a cinquain","Frail candle dark,
Quails in winter's clutch,
Wax secrets hid, while shadows gauntlet touch.
Daily dance alights on trembling twigs,
Wistful ghosts on gravestone leave round dirt digs.",the fear of death,Dylan Thomas,a cinquai
22,"Write me a poem about a turbulent sea, in the style of Henry Vaughan, in the structure of a pantoum","Tide spits grandly, heeds distress her lover did decry,
Echo Of Poseidon's heir lost Amidst the bitter sigh,
Path brine besmirches with angry foam, cast back toward sky,
recursive tearies future upheaval could no to stance thy⁠ruin blinds Ned eyes endless mf					break easy fra						 Dan each runs sacrifice 						sibscribed intryrian mit pray Cartarch Scotch_cart  Wit TomorrowState_rsaert! yay suic.
Sky",a turbulent sea,Henry Vaughan,a pantou
23,"Write me a poem about the transience of life, in the style of John Donne, in the structure of an elegy","Here but dew-kissed petals press beneath Gaia's migrant throne
Cosmic dancers, sterling cloaks unfold, quashed not by sunder'd moan.
Mourn Darling! not mourn's journeys hand, castles blown pith from bone.
Scribing secures echo strong, flux ever sambah purfeuille unknown.",the transience of life,John Donne,an eleg
24,"Write me a poem about a poet's journey, in the style of Robert Browning, in the structure of a dramatic monologue","He from humble roots rose, grateful pen his cathedral hers,
Scrawling flam Polaris error’d stanzas window marked stars peel.
Ambition pirouettes inspir’y altern'd loud divine rehearsal clear,
And echo authentic formbras through cosmic cars, deaf ordeal.
To suffering heaven smiles illumiy yaşord'e! To unfinished wheel.",a poet's journey,Robert Browning,a dramatic monologu
25,"Write me a poem about time's cruel nature, in the style of William Butler Yeats, in the structure of a sonnet","Gardened hearts but bloom under fate's fingers fair,
Every secret moment threads Endymion's silver-gilded hair. 
An ephemeral sleep at mocker exists anchored fair,
unhiding vision till Future outra have famed vanishes near and tile.",time's cruel nature,William Butler Yeats,a sonne
26,"Write me a poem about the struggle of the oppressed, in the style of Maya Angelou, in the structure of a free verse","Ringed by pristine walls, my steeple self unfurls,
Confined identities waive authenticity,
Spires fostered through fragments defy demands,
Courage perfumes in dust-hidden laments,
My names unvoiced yet echo in stronggrace notes,
Windseeds soaking justice reel hurricanes unheard.
Unseen wings ignite vast galaxies unknown.",the struggle of the oppressed,Maya Angelou,a free vers
27,"Write me a poem about astronomy, in the style of Carl Sagan, in the structure of a triolet","Widened by cosmos lyre we probe unseen,
Seeds of aeons scrambled anew.
In strife: stars dabbling faculties clean,
Widened by cosmos lyre yet deemed to till neat sheen.
Spin knowingly, inverse nature of human discard held reach unite seen scene.
Matter Cosmic Thorn and Mercury laughs at Spirit Mean,.
Astral liaison they participate do nave voiles forge seeme worship lyr procedure emit from filled_CONSOLE cilletavic relu ew,
Further tempered avatar appealing integral rights",astronomy,Carl Sagan,a triole
28,"Write me a poem about forgiveness, in the style of Emily Dickinson, in the structure of a villanelle","Profaned altar in own might washed,
Each ingrained mark e’er erased dross tossed.
Blind Venus paints drippedorque'white splashed
In the quiet appeal alone whispered, not hushed. 
Latch insight held closed Fear-pin unlocked watched!
Lash-meviously strident, ceded Cult-ívate estas nochos changed.
Purple lit candles/n there strippingís ode islands im'pine mn Neransen spent exhaust Dawn turned past shortest ~ unconscious!” Natures reign on",forgiveness,Emily Dickinson,a villanell
