,index,adjective,poem
0,0,formal,"Beyond the brook, the stilled trees moan,
Nature arose in defiant breath,
Venting her wrath in storm's deafening tone,
And thorns upon paths that men bequeath.
In woods, her vengeance in frost is shown,
As frigid winds veil life's bated wreathe."
1,0,informal,"Though we claimed earth's gifts, we were dealt stony responses.
Mistreated nature, with bitter jest, full dances.
Her pang invoked, told in gale's wild song and angry flood,
Reminding us, she too, has claim to blood."
2,0,traditional,"Foretelling revolt in a yielding frost's sigh,
Nature weeps not, as chilled feathers festoon high.
Gnarled roots awaken, steeled for the deadly dance,
In hushed despair, man's folly will find no chance.

Bare ebon trees, their silent plea unsought,
Shiver beneath the moon's pale, ghostly thought.
Quickening stream's lament, unheeded war,
Drums in the fortress of beasts, contentment's jar.

Dense fog whispers dread of coming plight,
Held captive by the stars' deceptive light.
Mournful winds weave tales of anguish tight,
Under lustrous banner of eternal night.

In Nature's revolt, in her fierce truth,
Lies the damning verdict of our unspent youth."
3,0,modern,"When mankind treads too harsh on nature's heart,
Trees quake, rivers recoil with subtle start.
Sky weeps in torrents, mountains crack their bones,
A quiet rebellion in timber tones.
Wind whispers warnings, while fires rage,
Echoing Earth's ancient, silent sage.
While we sleep in tech's cold sprites,
Nature gathers her strength, her rights.
Bound to endure, to heal, to mend,
In timeless cycles, without end.
Oh, man, heed well the Earth's solemn song,
Lest you hasten the day you don't belong."
4,0,serious,"Shrouded whispers among the leafy lore,
A pact formed in earth's ageless, rustling gale.
Gnarled roots ascend in cruel revolt, implore
The moon's glow on revolted forests pale.

Once silent guardians now loudly weep,
In echoes of a muted dawn, reborn.
Stark rebellion sprouts where shadows sleep,
An erring mankind meets nature's scorn.

In Frost's tempo, a dire verse unfurls,
Sonnet of revolt, an anthem to heed.
From verdant vales to cerulean swirls,
Each form of life, for respect, they plead.

From defiance, may remorse take root,
And foster life with every tender shoot."
5,0,funny,"Within the woods, a rampant hedgehog's flight,
A raven cries 'gainst squirrel drums, ignites.
Moose in dispute with badger o'er a bite,
Deer feuding bees – so much for the 'quiet' nights!
Oh what a sight, this feral creature's fight."
6,0,romantic,"In tussling shade where whispering leaves repose,
Nature revolts 'gainst time's relentless siege.
Her verdant arms ‘round ancient oaks are thrown,
Yet golden blossoms fade, truth’s cruel leach.

Her heart in sync with every falling flake,
Echoes the somber dirge of winter's song.
Stone-still she stands, each frosted breath she takes,
Casts sighs into the air, the dance prolong.

Yet, strife births joy, as spring restores her grace,
In love's sweet song, echoes nature's pledge,
To bloom again in life’s eternal trace,
Reborn, she dances on time's narrow ledge.

In nature's revolt, one truth is uncovered,
Beneath the storm, love's pulse is discovered."
7,0,cynical,"With quiet scorn nature twists her knife,
Lush greenery hides her mocking strife.
Others marvel at her springtime rite,
Unaware it mocks man's feeble might.
In Frost's bleak view, her mockery's rife,
She thrives while we surrender life."
8,0,rhythmic,"In the wild, a rustle, chaos unfurls,
As nature, disturbed, begins its twirls.
Steeds of thunder race across the sky,
Speaking the earth's dolorous sigh.

Valleys echo with the distraught trees,
Whispers ride the surreptitious breeze.
Crickets play their mournful tune,
Nature's revolt beneath the moon.

Earth's soft heart, now bruised and beat,
In wrathful torrents does it secrete.
Not man nor beast can stem the flow,
Of nature's resounding, furious, show."
9,0,free,"Woodland whispers stir the quiet night,
Trees in revolt ‘gainst Nature's cruel fight;
Moonlit shadows dancing with deer's fright,
Life’s wild rhythm beating in the twilight.

Brittle leaves accuse the impartial breeze,
Rivers pause their chatter, lost in unease.
Mountains mourn under the starry seas,
Their once serene songs turned to desperate pleas.

We disturb Her sleep with noise and light,
In Nature's revolt, we've lost our right.
When the day is arrested by endless night,
Will the world remember man's shallow sight?

Forgive us, Nature, we've lost our way, 
In your enduring arms, we yearningly pray."
