,Poem Prompt,Poem,Topic,Style,Structure
0,"Write me a poem about a blooming garden, in the style of Emily Dickinson, in the structure of a sonnet","A Vision of Heaven’s dainty Eye,
In lured emerald mystery - a sigh,
Bud as whispers spread apart,
Unmask sweet nature’s hidden art.
Soft melodies in petal glow,
In dew-specked dance, life bestows.
Its secret- vibrant vesture started,
A Bursting bloom - a Heart unguarded.",a blooming garden,Emily Dickinson,sonnet
1,"Write me a poem about the vastness of space, in the style of W.H. Auden, in the structure of an ode","Beyond the humdrum troubles in our caste,
In twilight’s theatre, there lies a place -
Unmeasured, silent, swallowed by the past;
Its players: suns in vast and empty space. 
Their light-brushed scores of whispers softly chaste.",the vastness of space,W.H. Auden,an ode
2,"Write me a poem about the complexities of love, in the style of Robert Frost, in the structure of a haiku","Shadowed lane in fall,
Leaves twine like trusting lovers -
Brevity in hues.

Love’s path, oft unknown,
Bitter snow may quell warm hearts,
Yet, seeds of spring lurk.

Underneath the moon’s veil,
Rivers whisper love's old tale —
Endless, yet transient. 

Frost-kissed roses glow,
Thorny truths beneath soft snow.
In passion, pain grows.",the complexities of love,Robert Frost,a haiku
3,"Write me a poem about sunrise, in the style of Walt Whitman, in the structure of a villanelle","In brisk morning’s silent sanctity, all aglow,
Echoes of crimson threads in light’s grand weave,
Awake within us daybreak’s hushed tableau.

Dawn's whispers shroud the sleeping earth below,
On Nature's loom, life's tapestry she'll conceive,
In brisk morning’s silent sanctity, all aglow.

A new existence dawns with rooster's crow,
So subtly entwined, we scarcely perceive
Awake within us daybreak’s h",sunrise,Walt Whitman,a villanelle
4,"Write me a poem about the vibrant city life, in the style of Langston Hughes, in the structure of a sestina","In veins of steel, pulses light's marquee,
Story in shadows, chasing dreams.
Whispers of life twine through concrete hearts,
Echoed in haste, trade for twilight.
Honking chants trace river's edges,
City's song sung through gritty wind.",the vibrant city life,Langston Hughes,a sestin
5,"Write me a poem about winter's first snow, in the style of William Wordsworth, in the structure of a pantoum","Under frozen stars, hearts in whispers gleam,
First snow's silent kiss fills the air.
Night's icy veil holds a secret dream,
Hinting a wonder, white and fair.

First snow's silent kiss fills the air,
Speaks not of cold, but of love's quiet prayer.
Hinting a wonder, white and fair,
Under frozen stars, hearts in whispers gleam.",winter's first snow,William Wordsworth,a pantoum
6,"Write me a poem about a child's innocent laughter, in the style of Robert Burns, in the structure of a limerick","In eildon hills, 'neath empyrean blue,
Spry bairn, sings to the unseen mew.
Maun naught but purity here decree,
His mirthful strains, fair glees o' glee?
Ah love, tis life’s sweetest brew.",a child's innocent laughter,Robert Burns,a limerick
7,"Write me a poem about a romantic summer evening, in the style of William Shakespeare, in the structure of a ghazal","The sun in retreat, by yonder sapphire veil concealed,
A whispered sonnet 'neath the moon, heart’s truth revealed.

In twilight’s glow, the lily shares a secret plight,
In cherries sweet, love's essence on a summer night.",a romantic summer evening,William Shakespeare,a ghazal
8,"Write me a poem about the aging process, in the style of Jenny Joseph, in the structure of a couplet","Worn no longer by the flutter of youth,
Delicate threads hinting at some uncouth.

Lives marked by sundials and weeny cracks,
Etched with tales through life's tortuous tracks.

In mirrors, we confront a gentle fray,
Incrementally kiss our virulence away.",the aging process,Jenny Joseph,a couplet
9,"Write me a poem about a forgotten town, in the style of E. E. Cummings, in the structure of a terza rima","Old soul whispers, Tara's town in tangible-twilight,
unevenly lamplight loses stories to the silent sigh.
Echoes knot into cobwebs, whispers trace twilight.

Rain wraps roads in memory's mystery,
Phantom faces flicker in the window's wane.
Invisible ink of history.",a forgotten town,E. E. Cummings,a terza rima
10,"Write me a poem about a stormy sea journey, in the style of Alfred Tennyson, in the structure of a rondeau","In shadowed whispers, Tempest's echo sighs,
Her tale of voyage veiled in terse disguise. 
A gallant ship in tumult, shroud untold,
Where deep sea dragons and dire phantoms hold.
All truths are tides within the hushed surprise.",a stormy sea journey,Alfred Tennyson,a rondeau
11,"Write me a poem about an old lighthouse, in the style of Sylvia Plath, in the structure of a villanelle","In the maze of lost, veiled desires,
Bleeds the ghost of ancient fires,
Echo down the years, as pyres.

Rocks kissed by salty tears dry,
Vestiges of promises lie,
Like lanterns in a leaden sky.

Ghost of ancient fires, declare
Your elusive, spectral glare;
Phantom comfort in sea's cold lair.

Harbor lies steeped in despair,
Echo down the years, beware.
In the maze of lost, from where?

Foot",an old lighthouse,Sylvia Plath,a villanelle
12,"Write me a poem about blossoming love, in the style of Anne Sexton, in the structure of a ghazal","In shadowed silhouettes, dalliance blooms—night's clandestine pearl.
Unfolding hearts whisper tacit vows, in night's clandestine pearl.

Through echoed laughter, the veil of silence tears,
A tender symphony strums unseen—in night's clandestine pearl.

Passion lingers on hushed lips, unsaid yet heard,
Like unquenched thirst it savors, in night's clandestine pearl.",blossoming love,Anne Sexton,a ghazal
13,"Write me a poem about a soldier's sacrifice, in the style of Wilfred Owen, in the structure of a sonnet","An oak steadfast 'midst tempest's wild embrace,
He yields life's spring to autumn’s field of woe,
Essence bleeds into a barren place,
A dance with death, shadows in evening's glow.
Yet not for glory’s hollow call he fell -
'Twas love of kin, not kings, spurred his demise.
His final tale, akin to tolling bell,
Sung softly through the echoes of their cries.
In silent fold of night's cold, starry quilt,
",a soldier's sacrifice,Wilfred Owen,sonnet
15,"Write me a poem about the first rainfall, in the style of Samuel Taylor Coleridge, in the structure of a limerick","Beneath a dome of teardrop lace, in subtle dance they trace,
Their gentle taps on cobweb's grace, a symphony in space.
Life's quill to gray-skinned parchment hews, with Nature as its muse,
In veiled form — springtime's debut.

The first rain - Nature's refuse.",the first rainfall,Samuel Taylor Coleridge,a limerick
16,"Write me a poem about the mysteries of the ocean, in the style of Herman Melville, in the structure of a haiku","In depths profound and cool,
Veiled truths lie dormant still; 
A lore untold, fierce and cruel,
Danced to Neptune's will.

Hark the whale song's pleading tale,
Echoes of salt-stained thrill; 
Night’s shroud worn, daylight frail,
In the ocean's twill. 

Unfathomable abyss of blue,
Each secret to fulfill;
The tempest's mournful whispering rue
With treasures hearts instill.
  
Mariner’s soul,",the mysteries of the ocean,Herman Melville,a haiku
17,"Write me a poem about an unforgettable adventure, in the style of Carl Sandburg, in the structure of a rondeau","In daybreak's hush, the heart begs more,
where shadows’ quilt mend tale of yore.
A whisper in a timeworn lore,
forests, unflinching as before,
remembers not, yet marks the score.
In dreams we roam, on an unseen shore.",an unforgettable adventure,Carl Sandburg,a rondeau
18,"Write me a poem about the joy of reading, in the style of Louise Gluck, in the structure of a ghazal","In the tranquil dusk, a whispered solace found,
In silent echoes, tales of old abound.

Light whispers its verse, dreams woven profound,
In paper's cradle, a world's wisdom is bound.

In these boundless realms, I am unbound,
Life's hidden truths in ink's sea are drowned.",the joy of reading,Louise Gluck,a ghazal
19,"Write me a poem about the beauty of moonlight, in the style of  John Keats, in the structure of a sonnet","Sonnet to Moonlight

'O, thou that danceth in the raven night,
Effulgence of the ethereal, quiet light.
Betwixt the stars, thy lustrous face shines bright,
In whispering sheen of archaic delight.

Thou beacon of poets, and lovers' sight,
Bathing earthly forms in celestial white.
For thou dost turn mundane to mystic rite,
And make even darkness lovely, oh Moonlight.

For as thou wane",the beauty of moonlight, John Keats,sonnet
20,"Write me a poem about a fleeting moment, in the style of Virginia Woolf, in the structure of a haiku","Beneath the gauze-winged moon, we dine,
Phantom waltz, sequent in time.
Obscure and brief, a covert jest,
Life is but a moment's rest. 

Glimmer fades, as echoes part—
An evanescent work of art.

Fleeting as a gasp of air,
Slips the fox in midnight's lair.
In that second tryst unseen,
Lingered lies our might-have-been.
Like",a fleeting moment,Virginia Woolf,a haiku
21,"Write me a poem about the longing of a lonely heart, in the style of Charlotte Bronte, in the structure of a pantoum","In the shadows where night clings tight,
Panes, veiled by frost's grim delight.
Desire whispers in timbre flight,
Moth seeks candle's unreachable light. 

Panes, veiled by frost's grim delight,
Sheathed in silence, shunning sight,
Moth seeks candle's unreachable light,
In the shadows where night clings tight.",the longing of a lonely heart,Charlotte Bronte,a pantoum
22,"Write me a poem about a royal palace, in the style of Geoffrey Chaucer, in the structure of a sonnet","Upon the verdant plains 'neath Heaven's gaze,
Where bloom'd incomparable jewels and jade,
Neath gilded peaks did glow the twilight haze,
Display'd in contour's sweetest serenade.

The noble edifice, a shrouded tale,
Beyond its gleaming gate of mystery,
The echo of harp, lute's tender wail,
Conceal'd within a clois'tr'd history.

In quiet nooks its secret life did rouse,
‘Midst",a royal palace,Geoffrey Chaucer,sonnet
23,"Write me a poem about a magical forest, in the style of J.R.R Tolkien, in the structure of a couplet","Through veiled whispers cloaked in night, an echoed sigh doth muse,
Of leaf-charmed dance 'neath vernal skies, mere mortals might confuse.

Crowned with moon-kissed emerald sheen, this realm soon takes its flight,
In woven dreams and shadows’ lean, under the star-kiss glassy light.",a magical forest,J.R.R Tolkien,a couplet
24,"Write me a poem about the passage of time, in the style of Thomas Hardy, in the structure of a terza rima","Beneath the stoic stone and mossy rime,
A fleeting echo whispers through our span.
Yet lingers not, this fickle snitch of time.

Our hours churned in Fate's indifferent pan,
Till stars recede, and tales escape each clan.",the passage of time,Thomas Hardy,a terza rima
25,"Write me a poem about the thrill of a chase, in the style of Robert Browning, in the structure of a sestina","Oh swift ecstasy, the quarry flees,
A cloak of mystery 'round His feet swirls.
Browning whispers through life's muted breeze,
In pursuit, Foreign Beauty unfurls.
Each chimed echo an unmet promise,
Unveiled in the thrill of a poet's premise.",the thrill of a chase,Robert Browning,a sestina
26,"Write me a poem about old books, in the style of Oscar Wilde, in the structure of a limeric","Age-worn tales that ears dare slander,
In hushed corners find their grandeur.
Crafter of ventures bold, forgotten and gold,
Marred by mortal curse, yet emerging smarter, bolder,
Whisper secrets only a noble heart can shoulder.",old books,Oscar Wilde,a limerick
27,"Write me a poem about a sailor's life, in the style of Charles Dickens, in the structure of a ballad","Upon yonder crest of briny blue,
A lonely heart seeks tales anew.
Half-soused in sorrow, half in ale,
On gales of dreams, his thoughts set sail.
In sea-sprayed whispers and salt-flecked strife,
There dances a song—veiled in sailor's life.",a sailor's life,Charles Dickens,a ballad
28,"Write me a poem about an abandoned castle, in the style of J.K Rowling, in the structure of a pantoum","Whispers roam in echoes lost, weaving tales of haunted frost,
Emblems weathered by time's cost, hearthstone's chill of love embossed.
Weaving tales of haunted frost, grey ruins warbling secret ost,
Hearthstone's chill of love embossed, whispers roam in echoes lost.",an abandoned castle,J.K Rowling,a pantoum
