,index,adjective,poem
0,0,formal,"In tranquil nooks where lilies weep,
In bloom, a secret held in keep.
Each petal's whisper, soft and sweet,
While colors riot at my feet.

In gardens lush, life's tale unspools,
In jasmine's scent, the morning drools.
Beneath the sun's approving glance,
In ecstasy, the roses dance.

In quiet corners, violets dream,
Their modest blush a subtle theme.
This symphony, in fragrant verse,
Makes Paradise of mortal earth."
1,0,informal,"In Garden's heart, buds awaken,
Whispers quilted in the morn.
Life unfurls, the soil’s shaken
In the grasp of sunlight's scorn.

Velvet petals, sprightly, spreading,
Nature's vibrant masterpiece.
Secret tales the bees are treading,
In this fleeting, blooming peace."
2,0,traditional,"In shy Awakening of the Dawn,
Gardens bloom in colors drawn.
A silent hymn to God above,
In petals sweet of tender love.
Each bud a tale of Life's own glee,
A dance of Joy 'tween Bee and Tree,
Transcending earthly sorrow's pale,
In Blossom's tale, we find our Grail."
3,0,modern,"Sky's tearful showers doth nurture blooms,
In my quaint Eden's embroidered rooms.
Scent of roses meet sunshine's glance,
Petal, leaf, in joyful dance.
Within its heart, secrets sown,
Silent whispers in breezes blown.
Fierce with life, yet gentle pard',
The paradox of my blooming yard."
4,0,serious,"In quiet bower, blooms unfold with charm,
Wrapped in sunlight, kissed by dawn's soft balm.
Petals whisper stories scribed by Time,
In colors deep, each a symphonic rhyme.
A blooming garden, Nature’s hushed psalm,
Veined with secret truths, in tranquil calm."
5,0,funny,"In shyest nook of Emily's yard,
Waltzing flora grandly starred,
Cucumbers playing hide-and-seek,
Tomatoes blushed - too shy to speak.
Roses gossiped, sunflowers flirted,
The pansy's humor - quite inverted!
Oh, the drama midst the clover,
Garden antics - never over!"
6,0,romantic,"In heart's veiled alcove blooms, a silent tale,
Whispers of Love, in petals, soft unfold.
The lily’s purity, the rose’s blush, prevail,
A garden thrives on Love, quaint and untold. 

In Beauty's secret, sweetest secrets veil,
Blossoms bright, under the moon's gentle hold.
Trust bestowed in hush, in twilight pale,
With tender kisses, tales of Love retold.

Yet Love's not bound to twilight's gentle hush,
Blooms beneath Day’s watchful, brilliant gaze.
In Morning's grasp, where sepals softly blush,
In their silent dance, Love's sonnet plays.

Beneath the moon or sun's fond gaze,
Love's garden blooms, in silence betrays."
7,0,cynical,"In gardens where gay blooms pretend joy,
Beneath the sun’s unyielding ploy.
Petals, wide, of colors bright,
Subdued when lonely night takes flight.
Truth no pretty bloom embodies,
Just pantomimes of splendid follies.
Deep beneath the spectacle,
Lie roots that bear the cynical."
8,0,rhythmic,"In secret bower, buds bloom amidst gold light,
Garden’s array in morning dew delight.
Veiled colors burst, break echoed silent night,
In love with day, whispers the spectered white.

Bright petals flaunt, their transient life ignite,
An artist’s palette, vast hues so bright.
Life's quiet score, a symphony of sight,
Each bloom’s debut, a tender, fleeting rite.

Oh, rejoice in the carnival of spring,
Each blossom voice in tune does sing,
Of life reborn, of beauty’s peace they bring,
In nature’s verse, eternal echoing."
9,0,free,"In hushed dawn's quietude, a garden grown,
Bloomed whispers of Nature's sweet refrain.
Petals unfurl under Sun's serene reign,
Seeds sown in quiet love, in richness flown.

Life's latticework in fragrant roses shown,
Each bloom in daylight's embrace, remain,
The hummingbird's sweet heart contains,
The tranquility in every silent stone.

Garden’s soft heart within Jasmine's throne,
Conceals a symphony, free from chain.
Blooming in love’s tender, sunlit lane,

Each gust of wind, a silent poem, blown.
Memories etched in each petal's vein,
In a blooming garden, tranquility is grown.
"
